"","x"
"1",2325
"2",59091
"3",82393
"4",82087
"5",5898
"6",53690
"7",54389
"8",8916
"9",13400
"10",41961
"11",97647
"12",89645
"13",76583
"14",79743
"15",13134
"16",13867
"17",4689
"18",31449
"19",70137
"20",36868
"21",31411
"22",90374
"23",6741
"24",31591
"25",63453
"26",26782
"27",14478
"28",67070
"29",44797
"30",34850
"31",57023
"32",23386
"33",85318
"34",90067
"35",81020
"36",27166
"37",87990
"38",64357
"39",39463
"40",51016
"41",95545
"42",94332
"43",87748
"44",46422
"45",13213
"46",17060
"47",8667
"48",87970
"49",48604
"50",21972
"51",69877
"52",46974
"53",11986
"54",10174
"55",8629
"56",14963
"57",90192
"58",820
"59",55187
"60",77693
"61",93765
"62",87160
"63",94334
"64",924
"65",86438
"66",5139
"67",91767
"68",85677
"69",26045
"70",23305
"71",25434
"72",28275
"73",10536
"74",87744
"75",15247
"76",38127
"77",11525
"78",86009
"79",724
"80",93187
"81",77689
"82",40706
"83",81055
"84",10115
"85",97710
"86",28129
"87",19862
"88",46594
"89",15607
"90",68654
"91",85801
"92",82877
"93",56762
"94",82175
"95",90091
"96",46440
"97",50559
"98",47828
"99",90765
"100",84021
"101",83797
"102",84954
"103",91130
"104",63903
"105",82743
"106",72500
"107",92871
"108",36797
"109",75169
"110",62501
"111",32205
"112",46489
"113",55261
"114",31853
"115",10450
"116",397
"117",52094
"118",86589
"119",37770
"120",3559
"121",93901
"122",5051
"123",50426
"124",79080
"125",78458
"126",35578
"127",73334
"128",13183
"129",82903
"130",9826
"131",38240
"132",20093
"133",63947
"134",92264
"135",27469
"136",19931
"137",33662
"138",30529
"139",68869
"140",97615
"141",99167
"142",183
"143",44207
"144",9316
"145",10788
"146",97155
"147",95158
"148",43993
"149",85699
"150",19265
"151",82257
"152",73670
"153",11874
"154",67493
"155",24885
"156",19567
"157",69271
"158",85269
"159",12106
"160",12295
"161",65728
"162",14571
"163",376
"164",96559
"165",81453
"166",20913
"167",9172
"168",83411
