"","x"
"1",7829
"2",11591
"3",7569
"4",8816
"5",9266
"6",15199
"7",5676
"8",15657
"9",21257
"10",5448
"11",4976
"12",7533
"13",18638
"14",18743
"15",21528
"16",22924
"17",4307
"18",13820
"19",17000
"20",19999
"21",14355
"22",19819
"23",19373
"24",19838
"25",171
"26",5014
"27",19571
"28",19770
"29",6563
"30",26535
"31",22035
"32",17139
"33",46421
"34",47286
"35",22658
"36",22047
"37",12202
"38",32701
"39",7587
"40",43414
"41",50644
"42",50863
"43",52926
"44",58485
"45",37645
"46",37214
"47",34851
"48",36846
"49",27773
"50",33775
"51",27730
"52",33926
"53",26208
"54",2316
"55",9726
"56",25180
"57",10469
"58",7343
"59",17017
"60",12136
"61",20667
"62",6289
"63",33596
"64",27046
"65",30395
"66",23793
"67",23649
"68",17971
"69",17589
"70",18681
"71",14457
"72",63147
"73",11283
"74",5925
"75",11296
"76",1022
"77",22
"78",2224
"79",6282
"80",13402
"81",23658
"82",13634
"83",19603
"84",23621
"85",26547
"86",50739
"87",49857
"88",49320
"89",45361
"90",2321
"91",8758
"92",19223
"93",23543
"94",28086
"95",39275
"96",41929
"97",1744
"98",12683
"99",14725
"100",33453
"101",34671
"102",12473
"103",32008
"104",16582
"105",44966
"106",36015
"107",2324
"108",33608
"109",41116
"110",40126
"111",40816
"112",42346
"113",2326
"114",11727
"115",29535
"116",32561
"117",18611
"118",7121
"119",37169
"120",7858
"121",14006
"122",19848
"123",41979
"124",1572
"125",36744
"126",65828
"127",2888
"128",3310
"129",19694
"130",2485
"131",14609
"132",1185
"133",945
"134",18948
"135",4079
"136",3113
"137",20368
"138",27184
"139",3887
"140",4197
"141",2416
"142",1
"143",16020
"144",13816
"145",22277
"146",33892
"147",18516
"148",10621
"149",11083
"150",13764
"151",11786
"152",24015
"153",5840
"154",6025
"155",4239
"156",9206
"157",732
"158",6799
"159",4543
"160",1526
"161",7882
"162",10387
"163",4572
"164",470
"165",7982
"166",7290
"167",1014
"168",9421
"169",6108
"170",2145
"171",1662
"172",5465
"173",159
"174",621
"175",11863
"176",9538
"177",14867
"178",8225
"179",18988
"180",2303
"181",2695
"182",13563
"183",13112
"184",20563
"185",3893
"186",7
"187",2
"188",13012
"189",6474
"190",17956
"191",12721
"192",5387
"193",2313
"194",3171
"195",12222
"196",2314
"197",3583
"198",1217
"199",1261
"200",2529
"201",973
"202",12502
"203",1460
"204",2739
"205",7257
"206",25179
"207",6389
"208",5716
"209",2711
"210",2710
"211",1528
"212",7690
"213",7272
"214",1277
"215",11549
"216",4486
"217",6861
"218",9123
"219",3227
"220",197
"221",27064
"222",69384
"223",65827
"224",60604
"225",53195
"226",66772
"227",54390
"228",58349
"229",59851
"230",56682
"231",59690
"232",66184
"233",98131
"234",98592
"235",96573
"236",72502
"237",69922
"238",72577
"239",74163
"240",68858
"241",82020
"242",91166
"243",83181
"244",97592
"245",96598
"246",97318
"247",97568
"248",98329
"249",97217
"250",91362
"251",82892
"252",98869
"253",91641
"254",92945
"255",82680
"256",93297
"257",98737
"258",86659
"259",77528
"260",78016
"261",80028
"262",91760
"263",79552
"264",93283
"265",91647
"266",82917
"267",84010
"268",82537
"269",98174
"270",68831
"271",97430
"272",83143
"273",93714
"274",90968
"275",94784
"276",68880
"277",68638
"278",89507
"279",97048
"280",68773
"281",91205
"282",91484
"283",83237
"284",91589
"285",68800
"286",93118
"287",86976
"288",90524
"289",68699
"290",90061
"291",68680
"292",89619
"293",76737
"294",94022
"295",86889
"296",98549
"297",85317
"298",75208
"299",77690
"300",75721
"301",77691
"302",63964
"303",63790
"304",64375
"305",63128
"306",93325
"307",83796
"308",91214
"309",69876
"310",69533
"311",94694
"312",85653
"313",92693
"314",82163
"315",88824
"316",91509
"317",92106
"318",93743
"319",88658
"320",87772
"321",91105
"322",96943
"323",94028
"324",75766
"325",83436
"326",92097
"327",92239
"328",87979
"329",91894
"330",88581
"331",91345
"332",92694
"333",91024
