"","","s0",""
"1",46843,5.63778834009993,0
"2",51897,7.43438410345726,0
"3",47147,7.43438410345726,5
"4",54521,9.57832327961628,0
"5",51967,7.43438410345726,0
"6",50691,5.63778834009993,0
"7",61810,9.57832327961628,0
"8",61721,9.57832327961628,10
"9",51960,5.63778834009993,0
"10",46034,5.63778834009993,0
"11",61694,9.57832327961628,0
"12",53819,22.1753053358558,0
"13",48871,5.63778834009993,0
"14",58650,13.6480877587477,0
"15",24530,13.6480877587477,10
"16",48777,5.63778834009993,0
"17",60617,9.57832327961628,0
"18",53816,13.6480877587477,0
"19",48837,5.63778834009993,0
"20",58611,9.57832327961628,0
"21",51686,5.63778834009993,0
"22",50425,5.63778834009993,0
"23",56904,9.57832327961628,0
"24",45570,5.63778834009993,0
"25",53950,17.8470817774942,0
"26",56522,9.57832327961628,5
"27",45277,7.59190211740622,0
"28",53020,17.8470817774942,0
"29",45164,4.47688943468772,5
"30",63385,13.6480877587477,10
"31",47081,8.59523883496211,0
"32",62071,9.57832327961628,0
"33",47500,5.63778834009993,0
"34",50818,3.39096480002806,2
"35",56859,22.1753053358558,0
"36",53971,17.8470817774942,0
"37",62943,9.57832327961628,0
"38",49400,12.3851458189391,0
"39",44539,9.66294311274381,0
"40",52722,7.19849477115267,5
"41",52036,5.63778834009993,0
"42",52308,5.77840785276143,5
"43",51578,7.43438410345726,0
"44",60772,9.57832327961628,0
"45",52504,7.43438410345726,0
"46",58583,9.57832327961628,0
"47",50395,7.59190211740622,5
"48",7517,22.1753053358558,0
"49",7713,16.2948691987438,0
"50",5973,9.87010394467218,0
"51",4547,5.77840785276143,0
"52",8953,6.55396694019011,0
"53",7650,5.87846478912829,5
"54",10964,5.63778834009993,0
"55",7281,9.5007762913603,20
"56",12372,8.84766264047624,0
"57",13191,11.106303594972,10
"58",12824,9.57832327961628,0
"59",12891,12.5317906872678,10
"60",12239,9.86606697528852,0
"61",13018,5.63778834009993,0
"62",15124,9.57832327961628,10
"63",15757,5.63778834009993,5
"64",11555,5.09258143158345,0
"65",12407,13.6480877587477,0
"66",14335,5.63778834009993,0
"67",16218,5.63778834009993,0
"68",16046,9.57832327961628,0
"69",17397,5.63778834009993,0
"70",15428,9.57832327961628,0
"71",15727,9.57832327961628,10
"72",15644,9.06016773179354,10
"73",15561,9.57832327961628,0
"74",15880,17.4262862489946,10
"75",10510,10.0337471480273,0
"76",10823,9.87004887628203,0
"77",9569,17.8470817774942,0
"78",12219,14.464759975147,0
"79",20890,13.6480877587477,0
"80",19418,4.47688943468772,0
"81",23146,9.57832327961628,0
"82",23242,9.57832327961628,0
"83",23317,9.57832327961628,0
"84",18377,5.63778834009993,0
"85",16875,5.63778834009993,0
"86",17651,5.63778834009993,0
"87",10234,6.83744778581858,0
"88",17621,5.63778834009993,2
"89",16313,5.63778834009993,0
"90",14094,9.09537633846141,10
"91",16402,5.77739468304606,0
"92",9278,5.48611192728225,5
"93",12700,5.77766943535858,5
"94",10770,5.72842823013279,5
"95",10967,5.67941097461533,0
"96",14956,9.42363322604003,0
"97",13526,9.86606697528852,0
"98",16555,12.0046744223413,0
"99",12036,17.8470817774942,0
"100",15518,22.1753053358558,0
"101",15289,22.1753053358558,0
"102",1026,16.1506327400565,10
"103",20146,5.63778834009993,10
"104",19507,5.77840785276143,0
"105",19532,5.77840785276143,10
"106",20728,5.63778834009993,0
"107",18698,5.63778834009993,5
"108",20975,5.63778834009993,0
"109",19087,5.63778834009993,0
"110",20270,5.63778834009993,0
"111",19676,9.57832327961628,0
"112",20747,9.57832327961628,5
"113",20338,9.57832327961628,0
"114",19942,9.57832327961628,0
"115",19733,45.7548662218902,0
"116",21926,5.63778834009993,0
"117",22586,5.63778834009993,5
"118",22866,5.63778834009993,5
"119",22765,5.63778834009993,0
"120",22424,9.57832327961628,0
"121",21709,15.3121778214925,0
"122",21876,13.2194877232638,15
"123",17433,8.37496292580273,5
"124",17967,5.77840785276143,0
"125",8870,5.45399391647649,10
"126",7490,10.4113850479288,0
"127",9022,9.12098881612805,0
"128",18037,9.57832327961628,0
"129",11471,9.42363322604003,0
"130",15337,9.6436229620935,10
"131",11444,14.7857944689846,0
"132",5290,27.3085023500029,25
"133",5552,19.0958445282548,0
"134",19023,5.55794342183814,0
"135",10409,3.53496091792688,0
"136",17742,5.63778834009993,0
"137",25240,5.63778834009993,0
"138",62315,9.57832327961628,0
"139",60514,31.2194410714243,35
"140",24421,9.57832327961628,0
"141",24675,5.63778834009993,0
"142",25128,5.63778834009993,8
"143",24803,13.6480877587477,0
"144",24507,5.63778834009993,0
"145",25072,5.63778834009993,0
"146",19317,5.59429950695555,0
"147",7092,5.15361416114264,0
"148",2619,5.39361259996952,0
"149",18802,5.47815577153573,0
"150",24166,13.6480877587477,0
"151",23920,16.6142417758855,0
"152",24130,6.55396694019011,0
"153",23359,17.5135994729648,0
"154",23739,5.63778834009993,0
"155",24006,5.63778834009993,5
"156",23712,5.63778834009993,0
"157",23665,5.63778834009993,0
"158",19713,5.63778834009993,0
"159",9617,6.68532789551095,0
"160",22540,5.63778834009993,0
"161",22843,5.63778834009993,0
"162",22583,9.06111018352704,0
"163",21719,5.63778834009993,0
"164",21768,5.63778834009993,0
"165",22437,5.63778834009993,0
"166",22873,5.63778834009993,0
"167",23121,5.63778834009993,0
"168",22779,5.63778834009993,8
"169",22293,5.8317458855099,5
"170",22558,9.57832327961628,0
"171",22054,9.0878712580788,10
"172",22284,9.57832327961628,0
"173",23129,22.9434496026558,0
"174",21871,11.3181913676655,0
"175",22736,17.8470817774942,0
"176",19264,5.63778834009993,0
"177",19591,5.63778834009993,0
"178",20100,5.77840785276143,5
"179",18866,5.63778834009993,0
"180",10797,5.58192720886198,0
"181",5148,8.50056244550857,20
"182",6811,5.31995283686016,0
"183",18206,5.63778834009993,0
"184",17611,5.12682239008598,0
"185",4597,5.65638886972829,5
"186",21055,5.63778834009993,0
"187",9111,5.95109357962996,0
"188",997,5.6214899305003,5
"189",19632,5.63778834009993,0
"190",5955,5.7847446360551,5
"191",3697,9.75708185007992,10
"192",18182,9.57832327961628,0
"193",16017,9.86606697528852,0
"194",21082,9.06111018352704,0
"195",17538,9.57832327961628,10
"196",13883,9.87004887628203,0
"197",20034,9.57832327961628,0
"198",18658,9.57832327961628,5
"199",7803,15.7655910364997,20
"200",17373,9.57832327961628,0
"201",18838,9.57832327961628,0
"202",20659,9.57832327961628,0
"203",3689,15.1498299359524,25
"204",9099,8.56916450196675,0
"205",19687,11.5354284036041,0
"206",7873,11.3871625599587,0
"207",11365,13.2194877232638,10
"208",19891,12.8765989591612,0
"209",22370,9.87125049233565,0
"210",19452,12.3891277199327,10
"211",19107,9.57832327961628,0
"212",5939,24.6961288274858,0
"213",17176,22.1753053358558,0
"214",18796,22.9434496026558,0
"215",15342,22.1753053358558,0
"216",13956,16.2111654575247,10
"217",27979,5.63778834009993,0
"218",44855,5.63778834009993,0
"219",28066,9.57832327961628,0
"220",27931,9.86606697528852,0
"221",21273,5.63778834009993,0
"222",22655,5.63778834009993,0
"223",19278,5.77840785276143,0
"224",20649,5.18360459914069,0
"225",17699,5.63778834009993,0
"226",13987,8.56004794042344,0
"227",22395,5.63778834009993,0
"228",20483,5.77840785276143,0
"229",20444,5.63778834009993,0
"230",1089,6.38075427245114,0
"231",23026,5.63778834009993,0
"232",20559,9.57832327961628,0
"233",11881,9.86606697528852,0
"234",3013,9.70760885448487,15
"235",19344,9.86606697528852,0
"236",21243,9.57832327961628,0
"237",19556,17.8470817774942,0
"238",20536,17.8470817774942,0
"239",20089,9.28097025870485,0
"240",22062,5.63778834009993,0
"241",15465,9.87010394467218,0
"242",4764,8.32085631906646,10
"243",14863,18.3576009130781,25
"244",12777,5.77739468304606,5
"245",23927,9.06111018352704,0
"246",24541,5.63778834009993,0
"247",24114,6.36874507642927,5
"248",25254,5.63778834009993,0
"249",23860,5.63778834009993,0
"250",23972,5.63778834009993,0
"251",24390,5.63778834009993,0
"252",24326,13.6480877587477,0
"253",26602,5.63778834009993,0
"254",26669,5.63778834009993,0
"255",27211,5.63778834009993,0
"256",25967,5.63778834009993,0
"257",27100,5.63778834009993,0
"258",26422,9.57832327961628,0
"259",25669,9.57832327961628,0
"260",26374,9.57832327961628,0
"261",17880,5.77739468304606,10
"262",5204,8.98312109541856,0
"263",22830,5.77840785276143,10
"264",3109,9.26655959548525,5
"265",14565,10.4187174543977,0
"266",926,13.6572705668454,0
"267",4492,9.70579076118218,10
"268",17340,9.42363322604003,0
"269",22270,9.86606697528852,0
"270",17029,9.57832327961628,0
"271",19517,9.57832327961628,0
"272",21018,13.6480877587477,0
"273",10402,9.42363322604003,0
"274",30176,9.57832327961628,0
"275",56433,9.57832327961628,0
"276",29626,5.77840785276143,0
"277",29669,9.57832327961628,0
"278",29151,9.57832327961628,0
"279",32091,9.57832327961628,0
"280",29811,17.8470817774942,0
"281",30289,9.57832327961628,0
"282",23963,5.79731937582993,5
"283",7823,6.00595758196097,5
"284",24273,16.6142417758855,0
"285",32119,9.1909225598575,0
"286",28354,9.57832327961628,0
"287",28791,5.63778834009993,5
"288",28361,5.63778834009993,0
"289",28652,5.63778834009993,0
"290",28533,9.06111018352704,0
