"","state","NAME","B19013_001E"
"1",1,"Alabama",42934
"2",2,"Alaska",69014
"3",4,"Arizona",50752
"4",5,"Arkansas",40149
"5",6,"California",61632
"6",8,"Colorado",57685
"7",9,"Connecticut",69243
"8",10,"Delaware",59317
"9",11,"District of Columbia",61835
"10",12,"Florida",47827
"11",13,"Georgia",49736
"12",15,"Hawaii",67116
"13",16,"Idaho",46890
"14",17,"Illinois",56576
"15",18,"Indiana",48393
"16",19,"Iowa",50451
"17",20,"Kansas",50594
"18",21,"Kentucky",42248
"19",22,"Louisiana",44086
"20",23,"Maine",47898
"21",24,"Maryland",72419
"22",25,"Massachusetts",65981
"23",26,"Michigan",48669
"24",27,"Minnesota",58476
"25",28,"Mississippi",38718
"26",29,"Missouri",47202
"27",30,"Montana",45324
"28",31,"Nebraska",50695
"29",32,"Nevada",55553
"30",33,"New Hampshire",64664
"31",34,"New Jersey",71180
"32",35,"New Mexico",44631
"33",36,"New York",56951
"34",37,"North Carolina",46291
"35",38,"North Dakota",49415
"36",39,"Ohio",48071
"37",40,"Oklahoma",44287
"38",41,"Oregon",49850
"39",42,"Pennsylvania",51651
"40",44,"Rhode Island",55975
"41",45,"South Carolina",44587
"42",46,"South Dakota",48010
"43",47,"Tennessee",43989
"44",48,"Texas",50920
"45",49,"Utah",57783
"46",50,"Vermont",53422
"47",51,"Virginia",63302
"48",53,"Washington",58890
"49",54,"West Virginia",39550
"50",55,"Wisconsin",52374
"51",56,"Wyoming",56380
"52",72,"Puerto Rico",19122
